Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
Maruti Baleno,2018.0,26880,1,PETROL,MH-02,Automatic,HatchBack,674000
Datsun Redi Go,2021.0,13454,1,PETROL,HR-51,Manual,HatchBack,362000
Maruti Swift,2018.0,47142,1,PETROL,RJ-14,Manual,HatchBack,582000
Honda City,2016.0,16856,1,PETROL,HR-26,Manual,Sedan,702000
Maruti Swift,2010.0,47741,1,PETROL,DL-3C,Manual,HatchBack,207000
Maruti Celerio,2016.0,30940,2,PETROL,MH-47,Automatic,HatchBack,336000
Hyundai Elite i20,2019.0,87935,1,PETROL,GJ-09,Manual,HatchBack,709000
Maruti New Wagon-R,2021.0,49905,1,CNG,HR-26,Manual,HatchBack,531000
Hyundai i20 Active,2016.0,103731,2,PETROL,,Manual,HatchBack,590000
Hyundai Creta,2019.0,48183,2,PETROL,WB-50,Manual,SUV,870000
Tata Tiago,2021.0,45146,1,PETROL,GJ-03,Manual,HatchBack,598000
Ford FREESTYLE,2018.0,22473,2,PETROL,KA-51,Manual,SUV,658000
Honda City,2016.0,54056,1,PETROL,TN-38,Manual,Sedan,718000
Maruti Baleno,2021.0,17802,1,PETROL,RJ-45,Manual,HatchBack,657000
Maruti Baleno,2017.0,18290,2,PETROL,MH-01,Automatic,HatchBack,623000
Hyundai Eon,2018.0,19450,1,PETROL,GJ-05,Manual,HatchBack,311000
Mahindra Thar,2019.0,32009,2,DIESEL,DL-8C,Manual,SUV,775000
Hyundai i10,2013.0,62049,1,PETROL,MH-03,Manual,HatchBack,259000
Honda Amaze,2016.0,27556,2,PETROL,DL-3C,Manual,Sedan,390000
Renault Kwid,2020.0,22475,1,PETROL,HR-29,Automatic,HatchBack,486000
Maruti Celerio,2017.0,12190,1,PETROL,MH-01,Manual,HatchBack,422000
Maruti Swift,2019.0,25661,2,PETROL,DL-9C,Manual,HatchBack,555000
Maruti Swift,2018.0,72599,1,PETROL,TS-09,Automatic,HatchBack,605000
Renault Kwid,2019.0,37465,1,PETROL,TS-28,Manual,HatchBack,429650
Maruti Alto,2010.0,90671,1,PETROL,TN-22,Manual,HatchBack,197000
Hyundai VENUE,2019.0,34290,1,PETROL,MH-43,Automatic,SUV,988000
Hyundai Elite i20,2016.0,33655,2,PETROL,KA-53,Manual,HatchBack,740000
Maruti Alto 800,2016.0,41370,3,PETROL,MP-04,Manual,HatchBack,264000
Maruti Celerio,2019.0,16068,2,PETROL,KA-05,Manual,HatchBack,509000
Hyundai i20,2013.0,32679,2,PETROL,DL-3C,Manual,HatchBack,355000
Maruti Swift,2014.0,51489,1,PETROL,KA-03,Manual,HatchBack,515000
Hyundai Creta,2016.0,62663,2,PETROL,DL-9C,Manual,SUV,722000
Maruti Baleno,2017.0,22223,1,PETROL,KA-51,Automatic,HatchBack,757000
Maruti Swift Dzire,2016.0,82298,1,PETROL,DL-4C,Manual,Sedan,482000
Maruti Vitara Brezza,2018.0,98557,1,DIESEL,HR-27,Manual,SUV,591000
Hyundai GRAND I10 NIOS,2021.0,13450,1,PETROL,CH-01,Manual,HatchBack,590000
Maruti New Wagon-R,2019.0,40767,1,CNG,UP-14,Manual,HatchBack,545000
Maruti Dzire,2018.0,72038,3,DIESEL,MP-09,Manual,Sedan,576000
Maruti S PRESSO,2022.0,3878,1,PETROL,HR-98,Manual,HatchBack,514000
Honda City,2016.0,43028,2,PETROL,GJ-27,Manual,Sedan,715000
Honda City,2014.0,52144,2,PETROL,TN-73,Automatic,Sedan,948000
Honda Brio,2013.0,62642,1,PETROL,MH-02,Manual,HatchBack,288000
Hyundai i10,2011.0,86777,1,PETROL,DL-7C,Manual,HatchBack,220000
Maruti Wagon R 1.0,2018.0,56733,1,CNG,MH-03,Manual,HatchBack,429000
Maruti Vitara Brezza,2018.0,62125,1,DIESEL,MH-05,Automatic,SUV,851000
Hyundai Creta,2016.0,80719,1,PETROL,HR-26,Automatic,SUV,845000
Honda City,2014.0,111577,1,PETROL,,Manual,Sedan,503000
Maruti Swift,2018.0,55946,1,DIESEL,GJ-27,Manual,HatchBack,646000
Maruti Swift,2018.0,51706,1,PETROL,DL-3C,Automatic,HatchBack,564000
Maruti Wagon R 1.0,2017.0,61110,2,CNG,MH-03,Manual,HatchBack,408000
Hyundai Elite i20,2017.0,72793,2,PETROL,TS-08,Manual,HatchBack,666000
Hyundai Grand i10,2015.0,39950,1,PETROL,HR-26,Manual,HatchBack,443000
Maruti Dzire,2021.0,76725,1,PETROL,WB-02,Manual,Sedan,336000
Datsun Redi Go,2017.0,97628,2,PETROL,TS-07,Manual,HatchBack,224000
Renault Kwid,2019.0,16174,1,PETROL,DL-12,Manual,HatchBack,421000
Honda Amaze,2020.0,24141,1,PETROL,MH-14,Automatic,Sedan,801000
Ford Ecosport,2018.0,89998,1,DIESEL,TN-58,Manual,SUV,828000
Mahindra Thar,2018.0,90305,2,DIESEL,TS-29,Manual,SUV,788000
Tata TIGOR,2020.0,14112,1,PETROL,PB-36,Manual,Sedan,566000
Maruti Swift,2013.0,121617,2,PETROL,,Manual,HatchBack,379000
Hyundai i10,2011.0,118300,2,PETROL,,Manual,HatchBack,274000
Honda Jazz,2018.0,39284,1,PETROL,GJ-27,Manual,HatchBack,614000
Hyundai Grand i10,2017.0,23376,1,PETROL,MH-05,Manual,HatchBack,535000
Maruti Swift,2017.0,83340,1,DIESEL,HR-03,Manual,HatchBack,457000
Maruti Baleno,2017.0,29164,2,PETROL,HR-26,Automatic,HatchBack,625000
Honda Amaze,2019.0,76438,2,PETROL,TS-16,Manual,Sedan,441000
Hyundai Creta,2016.0,65117,1,PETROL,MH-02,Manual,SUV,784000
Maruti Wagon R 1.0,2013.0,82871,2,PETROL,UP-32,Manual,HatchBack,233000
Skoda Rapid,2021.0,7129,1,PETROL,KA-04,Manual,Sedan,871000
Datsun Redi Go,2018.0,55547,2,PETROL,KA-19,Manual,HatchBack,275000
Hyundai Eon,2017.0,25039,1,PETROL,DL-12,Manual,HatchBack,292000
Nissan MAGNITE,2021.0,14740,1,PETROL,UP-16,Manual,SUV,737000
Honda Brio,2016.0,70316,3,PETROL,MP-04,Manual,HatchBack,364000
Maruti Alto 800,2018.0,36128,2,PETROL,BR-31,Manual,HatchBack,295000
Maruti Wagon R 1.0,2013.0,62438,1,PETROL,AP-28,Manual,HatchBack,339000
Hyundai Grand i10,2019.0,93449,1,PETROL,GJ-03,Manual,HatchBack,565000
Maruti Ciaz,2018.0,25734,1,PETROL,KA-41,Manual,Sedan,634000
Maruti Swift,2014.0,18498,1,PETROL,DL-2C,Manual,HatchBack,338000
Maruti A Star,2010.0,49743,1,PETROL,MH-03,Manual,HatchBack,164000
Ford Ecosport,2015.0,81297,1,PETROL,DL-8C,Manual,SUV,529000
Hyundai i10,2011.0,83325,1,PETROL,KL-32,Manual,HatchBack,209000
Hyundai Grand i10,2016.0,23573,1,PETROL,DL-1C,Automatic,HatchBack,497000
Maruti Alto 800,2018.0,41226,2,PETROL,PB-10,Manual,HatchBack,313000
Maruti Alto K10,2016.0,102185,1,PETROL,,Manual,HatchBack,300000
Maruti Celerio,2021.0,2370,1,PETROL,KA-25,Manual,HatchBack,716000
Hyundai i10,2012.0,59621,2,PETROL,AP-29,Manual,HatchBack,310000
Hyundai Grand i10,2016.0,97535,1,PETROL,KA-18,Manual,HatchBack,510000
Renault Kiger,2021.0,20537,2,PETROL,GJ-15,Manual,HatchBack,670000
Maruti Swift,2014.0,44060,1,DIESEL,HR-36,Manual,HatchBack,396000
Maruti Baleno,2019.0,31867,1,PETROL,DL-8C,Manual,HatchBack,680000
Renault Duster,2019.0,57721,1,DIESEL,HR-26,Manual,SUV,931000
Hyundai Verna,2011.0,52807,1,DIESEL,PB-03,Manual,Sedan,550000
Maruti Baleno,2019.0,27310,2,PETROL,RJ-45,Manual,HatchBack,707000
Honda WR-V,2017.0,80941,2,PETROL,KA-13,Manual,SUV,721000
Maruti Swift,2014.0,113521,1,PETROL,,Manual,HatchBack,488000
Hyundai i20,2013.0,120740,1,DIESEL,KA-03,Manual,HatchBack,468000
Skoda Rapid,2016.0,123662,1,PETROL,,Manual,Sedan,725000
Maruti Swift,2014.0,56753,2,PETROL,HR-51,Manual,HatchBack,453000
KIA SELTOS,2019.0,69587,1,DIESEL,TS-09,Automatic,SUV,1568300
Maruti Dzire,2018.0,62621,1,PETROL,DL-6C,Manual,Sedan,566000
Honda WR-V,2018.0,48089,3,PETROL,RJ-45,Manual,SUV,615000
Maruti Wagon R 1.0,2016.0,83485,1,CNG,MH-14,Manual,HatchBack,410000
Honda Brio,2012.0,76689,2,PETROL,GJ-05,Manual,HatchBack,285000
Honda Brio,2015.0,65394,1,PETROL,KA-03,Manual,HatchBack,455200
Maruti Swift Dzire,2012.0,51409,1,PETROL,MH-05,Automatic,Sedan,1271000
Honda City,2014.0,3812,1,PETROL,TN-10,Manual,Sedan,727000
Maruti Swift,2019.0,17023,1,PETROL,UP-14,Manual,HatchBack,531000
Maruti Swift,2013.0,97871,2,DIESEL,KA-02,Manual,HatchBack,504000
Hyundai Grand i10,2016.0,31300,1,PETROL,MH-46,Manual,HatchBack,469000
Maruti Dzire,2019.0,18097,1,PETROL,KA-04,Manual,Sedan,805000
Maruti Alto,2020.0,28328,1,PETROL,RJ-45,Manual,HatchBack,409000
Maruti Swift,2016.0,41107,1,PETROL,KA-07,Manual,HatchBack,573000
Tata Tiago,2020.0,18021,1,PETROL,HR-87,Automatic,HatchBack,611000
Honda Jazz,2017.0,50649,1,PETROL,MH-05,Manual,HatchBack,561000
Maruti Wagon R 1.0,2016.0,64481,1,PETROL,MH-12,Automatic,HatchBack,476000
Maruti S PRESSO,2021.0,25230,1,PETROL,KA-41,Manual,HatchBack,435000
Hyundai Verna,2018.0,47897,1,DIESEL,GJ-18,Manual,Sedan,1179000
Ford FREESTYLE,2018.0,36970,1,DIESEL,WB-08,Manual,SUV,543000
Maruti Baleno,2021.0,22474,1,PETROL,BR-01,Automatic,HatchBack,840000
Hyundai NEW I20,2021.0,13165,2,PETROL,KA-01,Manual,HatchBack,861000
Honda Amaze,2019.0,92170,1,PETROL,DL-3C,Manual,Sedan,527000
Hyundai Elite i20,2014.0,47140,1,DIESEL,TS-09,Manual,HatchBack,591000
Maruti Baleno,2019.0,39959,1,PETROL,HR-29,Manual,HatchBack,524000
Tata NEXON,2019.0,23694,1,PETROL,DL-11,Automatic,SUV,873000
Hyundai Verna,2019.0,33912,3,PETROL,KA-04,Manual,Sedan,465000
Maruti Swift Dzire,2012.0,50816,2,PETROL,KA-09,Automatic,Sedan,797000
Maruti Alto 800,2016.0,46543,1,PETROL,DL-6C,Manual,HatchBack,226000
Maruti Alto 800,2018.0,62659,1,PETROL,UP-32,Manual,HatchBack,291000
Maruti Wagon R 1.0,2013.0,46873,1,PETROL,WB-02,Manual,HatchBack,216000
Tata Bolt,2015.0,124731,1,PETROL,,Manual,HatchBack,309000
BMW 3 Series,2013.0,153870,3,DIESEL,CH-01,Automatic,Lux_sedan,1005000
Honda City,2017.0,59373,1,DIESEL,KA-04,Manual,Sedan,1014000
Maruti Alto,2019.0,3315,2,PETROL,KA-51,Manual,HatchBack,389000
Hyundai Elite i20,2016.0,40108,1,PETROL,DL-7C,Manual,HatchBack,569000
Maruti Dzire,2021.0,29581,1,PETROL,GJ-16,Manual,Sedan,694000
Renault Kwid,2021.0,20542,1,PETROL,GJ-12,Manual,HatchBack,483000
Mahindra KUV 100 NXT,2017.0,28059,2,PETROL,WB-26,Manual,SUV,423000
Hyundai Grand i10,2015.0,56719,2,PETROL,KA-04,Automatic,HatchBack,534000
Hyundai Elite i20,2017.0,60136,1,PETROL,KA-01,Manual,HatchBack,692000
Maruti Baleno,2021.0,25322,1,PETROL,GJ-38,Automatic,HatchBack,799000
Maruti Alto 800,2015.0,84920,2,CNG,GJ-05,Manual,HatchBack,228000
Maruti Swift Dzire,2014.0,13243,1,PETROL,HR-98,Manual,Sedan,865000
Hyundai i10,2013.0,66444,1,PETROL,GJ-27,Manual,HatchBack,291000
Maruti Swift,2022.0,20846,1,PETROL,KA-43,Manual,HatchBack,737000
Honda Jazz,2016.0,47077,1,PETROL,KA-51,Manual,HatchBack,595000
Honda City,2017.0,66960,1,PETROL,DL-14,Manual,Sedan,494000
Maruti Alto,2020.0,36693,1,PETROL,HR-51,Manual,HatchBack,339000
Hyundai Creta,2017.0,99215,1,DIESEL,TS-02,Automatic,SUV,1154000
Maruti Dzire,2018.0,79277,2,PETROL,DL-6C,Manual,Sedan,563000
Maruti Alto K10,2018.0,56156,1,PETROL,CH-01,Manual,HatchBack,355000
Maruti Swift,2017.0,42386,1,PETROL,MH-12,Manual,HatchBack,538000
Maruti Swift,2016.0,50892,1,PETROL,WB-08,Manual,HatchBack,298000
Maruti Wagon R 1.0,2014.0,98390,1,PETROL,DL-3C,Manual,HatchBack,311000
Maruti Swift,2014.0,44992,1,PETROL,UP-14,Manual,HatchBack,372000
Hyundai VENUE,2020.0,11925,1,PETROL,BR-01,Manual,SUV,1021000
Maruti New Wagon-R,2022.0,13642,1,PETROL,UP-78,Manual,HatchBack,642000
Ford Ecosport,2019.0,23724,1,PETROL,MH-14,Manual,SUV,833000
Maruti Baleno,2017.0,43199,1,PETROL,MH-47,Manual,HatchBack,564000
Renault TRIBER,2020.0,21687,2,PETROL,TS-10,Automatic,SUV,719000
Hyundai i10,2016.0,84566,1,PETROL,GJ-01,Manual,HatchBack,365000
Honda City,2014.0,73816,2,PETROL,MH-12,Manual,Sedan,447000
Skoda SLAVIA,2022.0,117505,2,PETROL,,Manual,Sedan,549000
Maruti Celerio,2016.0,63848,2,PETROL,MH-01,Manual,HatchBack,379000
Hyundai i10,2015.0,52673,1,PETROL,WB-20,Manual,HatchBack,276000
Volkswagen Polo,2019.0,80855,1,PETROL,TS-16,Manual,HatchBack,559000
Hyundai i10,2014.0,47025,1,PETROL,MH-14,Manual,HatchBack,364000
MG HECTOR PLUS,2020.0,59688,1,PETROL,TS-09,Automatic,SUV,1690000
Mahindra Bolero,2021.0,36739,1,DIESEL,PB-02,Manual,SUV,1006000
Maruti Swift Dzire,2013.0,56927,1,PETROL,KA-19,Manual,Sedan,464000
Maruti Alto 800,2014.0,51356,3,PETROL,TN-11,Manual,HatchBack,229000
Maruti Baleno,2017.0,18353,1,PETROL,MH-43,Manual,HatchBack,554000
Renault Duster,2019.0,44293,1,DIESEL,TS-06,Manual,SUV,1020000
Maruti Swift,2018.0,37338,1,PETROL,DL-8C,Automatic,HatchBack,614000
Maruti Dzire,2018.0,111035,1,PETROL,,Automatic,Sedan,512000
Hyundai i20,2013.0,74669,3,PETROL,DL-3C,Manual,HatchBack,320000
Maruti Wagon R 1.0,2014.0,40273,1,PETROL,MH-20,Manual,HatchBack,321000
Maruti Alto,2021.0,32041,1,CNG,HR-29,Manual,HatchBack,429000
Hyundai i10,2010.0,50831,3,PETROL,KA-51,Manual,HatchBack,241000
Maruti Swift,2019.0,37732,1,PETROL,MP-09,Manual,HatchBack,601000
Maruti Swift Dzire,2012.0,50854,2,PETROL,DL-3C,Manual,Sedan,294000
Volkswagen Polo,2016.0,60491,1,PETROL,MH-04,Manual,HatchBack,556000
Hyundai Elite i20,2019.0,108140,1,PETROL,,Manual,HatchBack,613000
